target,model,alpha,beta,alpha_beta_sum,lengthscale,sigma2,noise,lml,map,rmse,edge_rmse,interior_rmse,left_edge_rmse,right_edge_rmse,prior_sd_left,prior_sd_right,prior_sd_centre
vanishing,jacobi Legendre (space fixed),0.0,0.0,0.0,0.1698741481150546,0.2358337455391247,0.0011045774927282929,67.94990137908997,67.87664322953454,0.022215004345213896,0.03800605487754812,0.017663029063256428,0.03484870046383994,0.00235696008329252,3.013579323294303,3.013579323294303,0.7700742045539852
vanishing,jacobi MAP space (alpha,beta learned),-0.690391549414767,-0.7509520859243582,-1.4413436353391251,0.16753751800098526,0.31242054898648924,0.001100791311776043,69.73733123791729,69.40949793851904,0.01962401361479087,0.027213186159999632,0.017571758666707887,0.0017184425608088628,0.00042738465264742693,0.5751681279597926,0.7327054816541881,0.8480356529199113
vanishing,jacobi mirrored (wrong space),-0.7509520859243582,-0.690391549414767,-1.4413436353391251,0.16765141838495928,0.3136456224725367,0.0011000644824660016,69.69747741816016,69.36964411876191,0.019292258064161676,0.02560866743021044,0.017574858663194692,0.0007086089666890167,0.00038733747602581704,0.7339800506461073,0.576193146667638,0.8493969945757867
vanishing,jacobi mirrored, scale frozen (LR test),-0.7509520859243582,-0.690391549414767,-1.4413436353391251,0.15489684537733628,0.31242054898648924,0.001100791311776043,68.8570006036062,68.52916730420795,0.02313968768197559,0.03937062257981872,0.018589144536641337,0.005083432314106109,0.000346252022317995,0.7514102458542139,0.5869685476077278,0.8832180784876286
vanishing,RBF-GP (no space parameters),-,-,-,0.17065933811181036,1.1429894580188253,0.0011119735557617264,71.42109748958174,nan,0.03524170675815088,0.08091866150303362,0.01675515987899215,0.021140095992475183,0.10053528547410134,nan,nan,nan
edge_support,jacobi Legendre (space fixed),0.0,0.0,0.0,0.7990300551547068,0.16130363616757465,0.001168454266073575,103.26620894739358,103.19295079783815,0.021031163463521158,0.05203422965643855,0.005990594544050523,0.08563109721034971,0.08520202737023176,0.6368462063354269,0.6368462063354269,0.330753648728382
edge_support,jacobi MAP space (alpha,beta learned),0.34641366766428927,0.3226725803042745,0.6690862479685638,0.7930858845710607,0.09884480725329119,0.001167492070995241,103.52808517548334,103.26332869767592,0.020369894673757813,0.05039168012830641,0.00584578221235753,0.08461131917469915,0.08132893041785073,0.6209378453873696,0.6339599235817179,0.27737715155751985
edge_support,jacobi mirrored (wrong space),0.3226725803042745,0.34641366766428927,0.6690862479685638,0.7937063911323263,0.09898674134184923,0.001167729150549342,103.5259226415098,103.26116616370237,0.02048556353781125,0.05068020492356128,0.0058644432386614305,0.08401161487091638,0.08276312930998803,0.6339422234462323,0.6209293367566294,0.277507437271015
edge_support,jacobi mirrored, scale frozen (LR test),0.3226725803042745,0.34641366766428927,0.6690862479685638,0.5839380934039182,0.09884480725329119,0.001167492070995241,102.42244078243021,102.15768430462279,0.04837468038475945,0.12367123880504238,0.006472792566674421,0.24784722599869244,0.18607084899093507,0.8601319082809024,0.837594331133051,0.3075485044301911
edge_support,RBF-GP (no space parameters),-,-,-,0.5556774338440847,0.287908129451646,0.001102303554818063,101.72923892041763,nan,0.06199144795743118,0.15765600376684116,0.009446931080493786,0.24510150293362387,0.2822237086395176,nan,nan,nan
